formula,target
SbSO4F3,22.96243998961869
Li6VF8,0.04682115900004416
CuReO4,6.267538640964032
Mg2VO4,20.538033554651168
Ca2MgN2,28.706365303663905
Mg(ReO4)2,0.059248045619057235
Cs3W2Cl9,18.916450968599488
Ga2CuO4,5.98309009518936
CrP2O7,5.578497109570603
Li3MnF7,3.7415263872997513
Ca3(InN2)2,23.916210020393272
Cs3TlBr6,18.130081075767674
BaH2C2O5,1.7668528500412777
Li2BiO3,30.902091736673754
Cs2KInI6,14.999361257572932
Li3Fe2SnO6,2.1397200594952692
H8C2I3N,20.99801330020975
Ti3N2O3,26.492081256243218
Na3Cu2SbO6,5.527649092482279
CsRb2InCl6,0.32264420551115097
Bi2Te5Pb2,5.54104754104674
Al4InAgS8,22.20742779981159
Li(NiO2)3,23.628260288482164
Be(N3O7)2,30.629460317732487
Cs2TlGaCl6,3.875639333471241
CoH6(NCl)2,2.5108279761806096
Li3Co4WO8,7.551411086930998
PtO2,21.257847464523604
FeCo(PO4)2,10.964829514296087
K2NaInBr6,11.283003485862478
Pt(SCl3)2,26.42674622181456
Li2Mn(NiO3)2,21.840978769662303
TlMo2Cl7O2,10.304932118836598
V3(H3O5)2,28.37352337799956
Tl4BrCl3,19.022097755776123
Ba2CoF6,0.2265329024134581
Li5Ti2Cu3O10,6.001428890661848
CdO2,29.49876448694326
RbBiF4,1.979831567662727
Li3AlCrO5,19.633105289471686
Li2CuF4,16.86425154035546
Li3Cr3NiO8,16.508010435569652
NaMn3O6,4.8497978034200395
Mn(GaS2)2,14.264851516070703
Ba3SnS4,32.29460141464974
V2H2O5,27.28759979643385
Li2PWO6,4.6228835693843235
Ag2PdO2,22.006925108168186
Ta3InO9,5.270762339380801
Li9Sb3P8O29,0.24291523742284937
Li2VP3O10,11.012963782385754
Li5VF8,0.0
Cs2RbSbI6,13.647228048473703
TaFe(PbO3)2,15.164279510904224
LiCuS,20.155127001257824
TaO2,16.420036803277334
PdSe2,30.174660441514376
TePb,29.048454992373056
Na2Ti2O5,0.057715657109956055
Sn(S4I)4,9.410528404939768
K3ScI6,13.557834827871623
H4PbI3N,28.39611713403201
KNaH2,6.697964230885707
SnPO4,11.545738413920818
V2NO5,8.987794583740131
Fe2CoO4,20.532123743572697
NaYTiNbO6F,6.875498429224971
Al4ZnS7,3.4053438287849445
Fe6OF11,16.3027594513721
K2Sr2O3,15.023682817912784
LiNi(PO3)4,1.4977992464092333
Li2MnWO6,32.64047086468015
Na8SnO6,23.336327540287915
Cs3SbBr6,6.890570353527817
Cr3Pb5ClO12,12.35814405400544
CrPO4,12.552504132335118
NaHgCl3,9.216821502149545
Li6CuO4,5.44750049515119
LiNbO3,1.0141437415713879
TlGeF3,1.4919517585412718
Mn2F7,5.531170066382613
Li4Cr(PO4)2,0.2060695249929947
Li2V3O6,15.930319340060084
Na5VO4,0.007354143375333514
GeS2,26.470299199251436
Rb3SbO3,6.912484707669386
LiCrP2O7,8.167167910461789
Ta2Zn4O9,3.3679087387362334
ZnSnO3,19.461740465992904
SrZrO3,1.2901811426057437
Cs2NaGaCl6,4.627287159592882
RbCuTeS3,26.594144851348034
BaCu2(HgO2)2,23.677712954994636
Ba7TiN6,18.25008947538526
Li3TiFe3O8,11.767159157279922
Na4ZnSe3,26.44997221154079
Ba4TiN4,28.14815944246173
ScHO2,0.0044339787419486135
In2Cu2SiS6,11.47909966068388
ZrTiO4,11.100745812507192
Tl2Cr2O7,16.094421854324604
VCl4,4.617427860205832
Li2FeO2,2.1459069600386957
Na3Si3N5,2.6577705638443354
Mo(PO3)4,17.350483233836755
KCaBr3,2.14779480376077e-05
Cu8SiSe6,11.264622125798027
Bi12RuO20,22.47631669459812
H2W2O7,19.997704905890927
Li2Sn(PO3)4,0.24291429951895102
AlNiF5,0.0
BaNaH3Pd,23.303830139156606
KBiSe2,31.41365130608831
Ta2Sn2O7,28.846599934214584
Li5MnO3F2,24.31061085778807
KTlF3,16.080427625355536
CuBi(WO4)2,29.070471418197354
AlAuO2,23.9059837417235
Ba4ZrO6,2.7010733365241024
LiV5O7F,25.356192288219148
P4SO6,0.5923079164626102
Tl4Br3Cl,19.769681420006034
Si2SnO6,2.430679895254428
BaCaO2,4.656619778853573
Na2NiO2,12.214763988085659
Ta3Zn2Bi3O14,10.955525883774579
Ge2Sb2Te5,5.541736248679681
Y2SeO2,12.14597779414552
KB(CO2)4,0.9082247584644774
Te2W,31.09699713242076
Ti7Sn3O20,17.067466470640156
H4CSN2,2.557464738988748
K2CdN12,4.785471391335755
Co2AsO5,8.569387184543555
TaNb(AgO3)2,28.947750485214886
Li3Mn2FeO6,5.98511610232201
KInCl3,23.877221954827498
Li5V4O8,28.454077515829546
ZnCdO2,5.542559088346604
Cs2KGaCl6,1.446950398521878
Li2Ni3O3F2,0.2410791685737543
V9PO25,20.980746499405694
Ga4BiAs3,0.0
Pb4SeBr6,20.624083663908582
V2OF5,23.664848759171246
Y3Mg2CrS8,10.535517095064383
Li2MnCrO4,30.84626311128097
Ti(AlBr4)2,0.0
Ca3Si3(WO6)2,1.2285528744950345
ZnAgF3,7.734495130430492
Cs2SbF5,1.0278915708662444
BaSrO2,12.519567246491134
Na4WO4,2.8855371002236128
Ba2NF,11.109579416594098
